time,Latin America & Caribbean total,Central & Eastern Europe & Central Asia total,"East, Southeast Asia, & Pacific total",North America total,Northern & Western Europe total,Middle East & North Africa total,Sub-Saharan Africa total,South Asia total
2001-01-01,0,0,0,0,0,0,0,0
2001-02-01,0,0,0,0,0,0,0,0
2001-03-01,0,0,0,0,0,0,0,0
2001-04-01,0,0,0,0,0,0,0,0
2001-05-01,0,0,0,0,0,0,0,0
2001-06-01,0,0,0,0,0,0,0,0
2001-07-01,0,0,0,0,0,0,0,0
2001-08-01,0,0,0,0,0,0,0,0
2001-09-01,0,0,0,0,0,0,0,0
2001-10-01,0,0,0,0,0,0,0,0
2001-11-01,0,0,0,0,0,0,0,0
2001-12-01,0,0,0,0,0,0,0,0
2002-01-01,0,0,0,0,0,0,0,0
2002-02-01,0,0,0,0,0,0,0,0
2002-03-01,0,0,0,0,0,0,0,0
2002-04-01,0,0,0,0,0,0,0,0
2002-05-01,0,0,0,0,0,0,0,0
2002-06-01,0,0,0,0,0,0,0,0
2002-07-01,0,0,0,0,0,0,0,0
2002-08-01,0,0,0,0,0,0,0,0
2002-09-01,0,0,0,0,0,0,0,0
2002-10-01,0,0,0,0,0,0,0,0
2002-11-01,0,0,0,0,0,0,0,0
2002-12-01,0,0,0,0,0,0,0,0
2003-01-01,0,0,0,0,2,0,0,0
2003-02-01,0,0,0,0,2,0,0,0
2003-03-01,0,0,0,0,1,0,0,0
2003-04-01,0,0,0,0,1,0,0,0
2003-05-01,0,0,0,0,1,0,0,0
2003-06-01,0,0,0,0,1,0,0,0
2003-07-01,0,0,0,0,1,0,0,0
2003-08-01,0,0,0,0,1,0,0,0
2003-09-01,0,0,0,1,1,0,0,0
2003-10-01,0,0,0,0,1,0,0,0
2003-11-01,0,0,0,0,1,0,1,0
2003-12-01,0,0,0,0,1,0,1,0
2004-01-01,0,0,0,0,3,0,1,1
2004-02-01,1,0,3,0,3,0,2,1
2004-03-01,2,0,3,1,4,0,2,1
2004-04-01,2,0,3,1,4,0,2,2
2004-05-01,15,26,31,35,49,8,21,9
